label,spread,tick_volume,Bullish swing,Bearish swing,Bullish pinbar,Bearish pinbar,Inside bar,Outside bar,Bullish engulfing,Bearish engulfing
True,8,45572,False,True,False,False,False,False,False,False
True,8,36121,False,False,False,False,False,False,False,False
False,8,31425,True,False,False,True,False,False,False,False
True,8,34288,False,True,True,False,False,False,False,False
True,9,31699,True,False,False,False,False,False,False,False
True,9,30264,False,False,False,False,False,False,False,False
False,9,34667,False,False,False,False,False,False,False,False
True,9,34317,False,True,False,False,False,False,False,False
False,9,38136,True,False,False,False,False,False,False,False
False,10,37087,False,False,False,True,False,False,False,False
False,9,39796,False,True,False,False,False,False,False,False
True,10,35368,False,False,False,False,False,False,False,False
False,8,34603,False,False,False,False,False,False,False,False
False,9,40942,True,False,False,False,False,False,False,False
False,9,46203,False,True,False,False,False,False,False,False
True,9,40724,False,False,False,False,False,False,False,False
True,9,43288,True,False,False,False,False,False,False,False
False,9,37315,False,False,False,False,False,False,False,False
True,9,36027,False,False,False,False,False,True,False,False
True,9,43433,False,False,False,False,False,True,False,False
False,8,38590,True,False,False,False,False,False,False,False
False,9,20748,False,True,False,False,True,False,False,False
False,10,21957,False,False,False,False,False,False,False,False
False,9,37560,False,False,False,False,False,False,False,False
True,9,36007,False,False,False,False,False,False,False,False
True,9,37820,False,False,True,False,False,False,False,False
True,9,37363,True,False,False,False,False,False,False,False
True,9,42221,False,False,False,True,False,False,False,False
True,10,39476,False,True,False,False,False,False,False,False
False,9,43278,True,False,False,False,False,False,False,False
False,9,41184,False,True,False,False,False,False,False,False
False,10,42714,False,False,False,False,False,False,False,False
False,9,37823,False,False,True,False,False,False,False,False
False,9,36069,True,False,False,False,False,False,False,False
False,9,37810,False,True,False,False,False,False,False,False
True,9,42655,False,False,False,False,False,False,False,False
True,10,45949,False,False,False,False,False,False,False,False
False,9,42180,True,False,False,False,False,False,False,False
True,9,51600,False,True,False,False,False,False,False,False
True,9,59113,False,False,False,False,False,False,False,False
True,9,47335,True,False,False,False,False,False,False,False
False,8,43675,False,False,False,False,False,False,False,False
False,9,36212,False,True,False,False,False,False,False,False
False,8,48690,False,False,False,False,False,False,False,False
False,9,57402,False,False,False,False,False,False,False,False
True,9,73442,False,False,False,False,False,False,False,False
True,12,83142,True,False,False,False,True,False,False,False
False,10,78501,False,False,False,False,False,False,False,False
True,9,67118,False,True,False,False,False,False,False,False
False,9,60776,False,False,False,False,False,False,False,False
False,10,49365,False,False,False,False,False,False,False,False
True,10,58712,False,False,False,False,False,False,False,False
False,10,149146,False,False,True,False,False,False,False,False
True,10,72967,False,False,False,False,False,True,False,False
True,10,46987,False,True,False,False,False,False,False,False
True,12,43592,True,False,False,False,False,False,False,False
False,13,61466,False,False,False,False,False,False,False,False
True,8,51026,False,True,False,False,False,False,False,False
False,10,51934,False,False,True,False,False,False,False,False
True,8,49658,False,False,False,False,False,False,False,False
False,10,58782,False,False,False,False,False,True,True,False
True,8,54622,True,False,False,False,False,False,False,False
False,11,34834,False,True,False,False,True,False,False,False
True,10,66264,False,False,False,False,False,True,False,False
False,9,61439,True,True,False,False,True,False,False,False
False,8,55593,False,False,False,False,False,True,False,False
False,9,54110,False,True,False,False,False,False,False,False
True,8,63132,False,False,False,False,False,False,False,False
True,9,63108,True,False,False,False,False,False,False,False
True,8,55570,False,False,False,True,False,False,False,False
True,8,63926,False,False,False,False,False,False,False,False
True,10,70668,False,False,False,False,False,False,False,False
True,8,50129,False,False,False,False,False,False,False,False
False,8,91751,False,False,False,False,False,False,False,False
True,8,43868,False,False,False,False,False,False,False,False
True,9,46359,False,False,False,False,False,True,False,False
False,9,38601,True,False,False,False,False,False,False,False
False,8,50850,False,False,False,False,False,True,False,False
True,8,45172,False,True,False,False,False,False,False,False
True,8,33229,False,False,False,False,False,False,False,False
True,8,48903,True,False,False,False,False,False,False,False
False,9,39618,False,False,True,False,False,True,False,False
False,7,41553,True,False,False,False,False,False,False,False
True,9,40938,False,True,False,False,False,False,False,False
True,7,50649,True,False,False,True,False,False,False,False
True,8,54000,False,False,False,False,False,False,False,False
False,8,47050,False,False,False,False,False,False,False,False
True,7,23183,False,True,False,False,True,False,False,False
True,8,46452,False,False,False,False,False,True,False,False
True,8,43825,True,False,False,False,False,False,False,False
False,8,41556,False,False,False,False,False,False,False,False
False,8,34626,False,False,False,False,False,True,False,False
True,7,33112,False,True,False,False,False,False,False,False
True,8,111442,False,False,False,False,False,True,False,False
True,9,39982,True,False,False,False,False,False,False,False
False,8,77992,False,False,False,False,False,False,False,False
True,8,46349,False,False,False,True,False,False,False,False
False,9,37159,False,True,False,False,False,False,False,False
False,7,42661,False,False,False,False,False,True,False,False
True,7,43357,False,True,False,False,False,False,False,False
True,7,44411,True,False,False,False,False,False,False,False
True,8,45808,False,False,False,False,False,False,False,False
True,8,40074,False,False,False,False,False,False,False,False
False,9,42808,False,False,False,False,False,False,False,False
True,9,42164,False,True,False,False,True,False,False,False
False,9,40083,False,False,False,False,False,False,False,False
True,8,41809,False,True,False,False,True,False,False,False
True,8,35275,False,False,False,False,False,False,False,False
False,7,35605,False,False,False,False,False,False,False,False
True,8,34858,False,True,False,False,False,False,False,False
True,8,35801,False,False,False,False,False,False,False,False
False,6,34237,True,False,False,False,False,False,False,False
False,7,26966,False,True,False,False,True,False,False,False
False,8,40183,False,False,True,False,False,False,False,False
False,8,47859,False,False,False,False,False,False,False,False
False,8,44967,False,False,False,False,False,False,False,False
True,8,41520,False,False,False,False,False,False,False,False
True,8,38714,False,False,False,False,False,False,False,False
False,7,41361,True,False,False,False,False,False,False,False
False,7,38743,False,False,False,False,False,False,False,False
False,8,46086,False,True,False,False,False,False,False,False
False,8,41117,False,False,False,False,False,False,False,False
False,7,36582,False,False,False,False,False,False,False,False
True,7,45831,False,False,False,False,False,False,False,False
True,8,44508,True,False,False,True,False,False,False,False
True,9,44506,False,False,False,False,False,False,False,False
False,5,39015,False,False,False,False,False,False,False,False
True,8,30703,False,True,False,False,False,False,False,False
True,7,42040,False,False,False,False,False,False,False,False
True,6,34286,True,False,False,False,False,False,False,False
True,5,29145,False,True,False,False,True,False,False,False
False,5,26054,False,False,False,False,False,False,False,False
False,5,17840,False,False,False,False,False,False,False,False
True,5,34184,False,True,False,False,False,False,False,False
False,8,40664,False,False,False,False,False,False,False,False
False,8,37912,True,False,False,False,False,False,False,False
True,8,36297,False,True,False,False,False,False,False,False
True,7,39125,True,False,False,False,False,False,False,False
True,7,44081,False,False,False,False,False,False,False,False
True,8,46761,False,False,False,False,False,False,False,False
False,7,42779,False,False,False,False,False,False,False,False
True,8,40971,False,False,False,True,False,False,False,False
True,9,30580,False,True,False,False,True,False,False,False
True,6,41868,False,False,False,False,False,False,False,False
False,9,42092,False,False,False,False,False,False,False,False
True,9,45025,False,True,False,False,True,False,False,False
False,8,22781,False,False,False,False,False,True,True,False
True,7,39867,True,False,False,False,False,False,False,False
True,9,48942,False,False,False,False,False,True,False,False
True,6,40449,True,False,False,False,False,False,False,False
True,9,55816,False,False,True,False,False,True,False,False
False,9,47829,True,False,False,False,False,False,False,False
True,9,45684,False,True,False,False,True,False,False,False
True,9,53076,False,False,False,False,False,True,False,False
False,7,50757,True,False,False,False,False,False,False,False
True,8,52036,False,False,False,True,False,False,False,False
False,10,48079,False,True,True,False,False,False,False,False
True,9,30329,True,False,False,False,False,False,False,False
True,9,51452,False,True,True,False,False,False,False,False
True,8,43711,True,False,False,False,False,False,False,False
False,9,48006,False,False,False,False,False,False,False,False
False,8,50460,False,False,False,False,False,True,False,False
False,9,51262,False,True,True,False,False,False,False,False
True,9,61362,False,False,False,False,False,True,False,False
False,9,56283,False,True,False,False,False,False,False,False
True,7,57683,True,False,False,True,False,False,False,False
True,8,51109,False,True,True,False,False,False,False,False
False,9,56400,True,False,False,True,False,False,False,False
False,7,62677,False,True,False,False,False,False,False,False
True,8,66421,False,False,False,False,False,False,False,False
True,8,60331,True,False,False,False,False,False,False,False
False,8,60308,False,False,False,False,False,False,False,False
True,8,61085,False,False,False,False,False,False,False,False
True,9,65719,False,False,False,False,False,False,False,False
True,9,75787,False,False,False,False,False,False,False,False
False,8,79852,False,False,False,False,False,False,False,False
False,9,66258,False,True,False,False,False,False,False,False
False,8,72639,False,False,False,False,False,False,False,False
True,9,82240,False,False,False,False,False,False,False,False
False,9,81616,False,False,True,False,False,False,False,False
True,10,74193,False,False,False,False,False,False,False,False
False,10,85876,False,False,False,False,False,False,False,False
False,8,72600,False,False,False,False,False,False,False,False
True,8,91507,False,False,False,False,False,False,False,False
True,9,80347,True,False,False,False,True,False,False,False
True,8,79455,False,False,False,False,False,False,False,False
False,9,68624,False,False,False,False,False,False,False,False
False,9,78858,False,False,False,False,False,True,False,False
False,9,92697,False,True,False,False,False,False,False,False
True,9,91782,False,False,False,False,False,False,False,False
False,9,65811,True,False,False,False,True,False,False,False
False,9,77723,False,False,False,False,False,False,False,False
False,9,85839,False,False,False,False,False,False,False,False
True,9,99389,False,False,False,False,False,False,False,False
True,9,96783,True,False,False,False,False,False,False,False
True,9,92703,False,False,False,False,False,False,False,False
False,9,84074,False,False,False,False,False,False,False,False
False,9,86720,False,True,False,False,True,False,False,False
False,9,93134,False,False,False,False,True,False,False,False
False,8,92647,False,False,True,False,False,False,False,False
False,9,82497,False,False,False,False,False,True,False,False
True,7,69405,True,True,False,False,True,False,False,False
False,8,75222,False,False,False,False,False,False,False,False
False,8,79216,False,False,False,True,False,False,False,False
True,4,83075,False,True,False,False,False,False,False,False
False,4,73545,False,False,False,False,False,False,False,False
False,9,74778,False,False,False,True,False,True,False,False
False,9,71399,False,True,False,False,False,False,False,False
True,8,74937,False,False,False,True,False,True,False,False
True,9,69688,True,True,False,False,True,False,False,False
True,9,57887,False,False,False,False,False,False,False,False
True,10,25556,True,False,False,False,True,False,False,False
False,10,46182,False,False,False,False,False,True,False,False
True,9,61634,True,False,False,True,False,False,False,False
True,9,56088,False,True,False,False,False,False,False,False
True,9,59251,True,False,False,False,False,False,False,False
False,10,46339,False,False,False,False,False,False,False,False
False,9,63214,False,True,True,False,False,False,False,False
False,8,80673,True,False,False,True,False,False,False,False
False,8,83725,False,True,False,False,False,False,False,False
False,8,73723,False,False,False,False,False,False,False,False
True,8,82379,False,False,False,False,False,False,False,False
True,9,73379,False,False,False,False,False,False,False,False
True,8,81690,True,False,False,False,False,False,False,False
True,8,85250,False,False,False,False,False,False,False,False
True,8,83518,False,False,False,False,False,False,False,False
False,8,81796,False,False,False,False,False,False,False,False
True,6,69216,False,True,False,False,False,False,False,False
True,8,87506,True,False,False,False,False,False,False,False
True,8,90324,False,False,False,False,False,False,False,False
True,9,91805,False,True,False,False,True,False,False,False
True,8,87401,False,False,False,False,False,False,False,False
True,8,83078,False,False,False,False,False,False,False,False
True,8,93956,False,False,False,False,False,False,False,False
True,8,89591,False,False,False,False,False,False,False,False
False,6,92594,False,False,False,False,False,True,False,False
True,5,88142,False,True,False,False,False,False,False,False
True,8,90313,False,False,False,False,False,False,False,False
False,9,92318,True,False,False,False,False,False,False,False
False,8,83748,False,False,False,False,False,False,False,False
False,8,82362,False,True,False,False,False,False,False,False
False,8,53718,False,False,False,False,False,False,False,False
True,8,56235,False,False,True,False,False,False,False,False
True,8,52629,True,False,False,False,False,False,False,False
False,8,51816,False,False,False,False,False,False,False,False
False,8,68144,False,True,False,False,False,False,False,False
False,8,49758,False,False,False,False,False,False,False,False
False,8,68464,False,False,False,False,False,False,False,False
True,8,64536,True,False,False,False,True,False,False,False
True,8,68841,False,False,False,False,False,False,False,False
True,8,57795,False,False,False,False,False,False,False,False
False,8,62537,False,False,False,False,False,False,False,False
False,7,53603,False,False,False,False,False,False,False,False
True,8,83175,False,True,True,False,False,False,False,False
True,8,74692,True,False,False,False,False,False,False,False
False,8,75173,False,False,False,False,False,False,False,False
True,8,68016,False,False,False,False,False,False,False,False
False,8,72482,False,False,False,False,False,True,False,False
True,8,79752,True,True,False,False,True,False,False,False
True,9,73548,False,False,False,False,False,True,False,False
True,8,74667,True,False,False,False,False,False,False,False
False,7,59009,False,False,False,False,False,False,False,False
False,5,74128,False,False,False,True,False,False,False,False
True,7,70216,False,True,False,False,False,False,False,False
False,8,70488,False,False,True,False,False,False,False,False
True,8,74343,False,False,False,False,False,False,False,False
True,9,70765,False,False,False,False,False,False,False,False
False,8,73056,True,False,False,False,False,False,False,False
False,8,88130,False,False,True,False,False,True,False,False
True,8,88893,True,True,False,False,True,False,False,False
True,9,90125,False,False,False,False,False,False,False,False
True,8,76710,False,False,False,False,False,False,False,False
False,8,61146,False,False,False,False,False,False,False,False
False,8,62172,False,False,False,False,False,False,False,False
True,8,73682,False,True,False,False,False,False,False,False
False,9,69038,False,False,False,False,False,True,False,False
False,9,64533,True,True,False,False,True,False,False,False
True,8,59764,False,False,False,False,False,False,False,False
True,7,61395,True,False,False,False,False,False,False,False
True,8,68572,False,True,False,False,True,False,False,False
True,8,70342,False,False,False,False,False,False,False,False
False,7,66888,False,False,True,False,False,True,False,False
True,7,60730,True,False,False,False,False,False,False,False
True,6,60321,False,True,True,False,False,False,False,False
False,8,65951,True,False,False,False,False,False,False,False
True,7,69292,False,True,False,False,True,False,False,False
False,8,68944,False,False,False,False,False,False,False,False
True,7,60639,False,True,False,False,True,False,False,False
False,8,76607,False,False,False,False,False,True,False,False
True,8,71254,True,False,False,False,False,False,False,False
False,8,73134,False,True,True,False,False,False,False,False
False,8,66841,True,False,False,False,True,False,False,False
True,8,76174,False,False,False,False,False,False,False,False
True,7,70718,True,False,False,False,True,False,False,False
True,8,75032,False,False,False,False,False,False,False,False
True,8,70127,False,False,False,True,False,False,False,False
True,10,33966,False,True,False,False,True,False,False,False
True,8,55412,False,False,False,False,False,True,False,False
True,9,64063,False,False,False,False,False,True,False,False
True,7,71297,True,False,False,False,False,False,False,False
False,8,71480,False,False,False,False,False,False,False,False
True,8,49280,False,True,False,False,True,False,False,False
False,7,65803,False,False,False,True,False,True,False,False
True,9,67531,False,True,False,False,False,False,False,False
False,9,73499,True,False,False,True,False,False,False,False
False,10,79035,False,True,False,False,False,False,False,False
True,10,89714,False,False,False,False,False,False,False,False
True,9,87290,False,False,True,False,False,False,False,False
False,9,88979,True,False,False,False,True,False,False,False
True,8,76054,False,False,False,False,False,True,False,True
False,8,68235,False,True,False,False,False,False,False,False
True,9,56326,False,False,False,False,False,True,False,False
True,7,66876,False,True,False,False,False,False,False,False
True,8,61456,True,False,False,False,True,False,False,False
True,8,35193,False,False,False,False,False,False,False,False
