label,spread,tick_volume,Bullish swing,Bearish swing,Bullish pinbar,Bearish pinbar,Inside bar,Outside bar,Bullish engulfing,Bearish engulfing
False,5,333420,False,True,False,False,False,False,False,False
True,5,353276,False,False,False,False,False,False,False,False
True,5,380825,False,False,False,False,False,True,False,False
False,5,353589,True,False,False,False,False,False,False,False
False,5,306452,False,False,False,False,False,True,False,False
False,5,391689,False,True,False,False,False,False,False,False
False,5,390345,False,False,False,False,False,False,False,False
False,5,431732,False,False,False,False,False,False,False,False
True,5,429758,False,False,False,False,False,False,False,False
True,5,436821,True,False,False,False,False,False,False,False
False,5,437695,False,False,False,False,False,False,False,False
True,5,439106,False,False,False,False,False,False,False,False
False,5,420423,False,True,False,False,False,False,False,False
False,5,376626,False,False,False,False,False,False,False,False
False,4,379199,False,False,True,False,False,False,False,False
True,5,379945,False,False,False,False,False,False,False,False
True,5,433996,False,False,False,False,False,True,False,False
False,4,397075,True,False,False,False,False,False,False,False
True,5,374313,False,False,False,False,False,False,False,False
True,5,336236,False,True,False,False,True,False,False,False
True,5,345156,False,False,False,False,False,False,False,False
True,4,271377,False,False,False,False,False,False,False,False
True,5,318095,False,False,False,False,False,False,False,False
False,5,350167,False,False,False,False,False,False,False,False
False,5,361906,False,False,False,False,False,False,False,False
True,4,337360,False,True,False,False,False,False,False,False
False,5,308188,False,False,False,False,False,True,False,False
True,5,285281,True,True,False,False,True,False,False,False
False,5,289648,False,False,False,False,False,False,False,False
False,3,277072,False,True,False,False,False,False,False,False
False,2,226267,False,False,False,False,False,False,False,False
True,4,316553,False,False,False,False,False,False,False,False
True,4,291536,False,False,False,False,False,False,False,False
True,4,279968,True,False,False,False,False,False,False,False
False,3,286756,False,False,False,False,False,False,False,False
True,4,274917,False,False,False,True,False,True,False,False
True,4,258494,True,False,False,False,False,False,False,False
True,3,266256,False,False,False,True,False,False,False,False
False,3,153549,False,True,False,False,True,False,False,False
True,4,221137,False,False,False,False,False,True,False,False
False,3,256383,True,False,False,False,False,False,False,False
True,4,269667,False,False,False,False,False,False,False,False
True,4,253063,False,False,False,False,False,False,False,False
False,4,278255,False,False,False,False,False,False,False,False
False,2,300546,False,True,False,False,False,False,False,False
False,1,261414,False,False,False,False,False,False,False,False
False,2,182856,False,False,False,False,False,False,False,False
False,2,232860,False,False,False,False,False,False,False,False
True,1,138496,False,False,False,False,False,False,False,False
False,1,233950,False,False,False,False,False,False,False,False
False,1,272748,False,False,False,False,False,False,False,False
True,1,217289,False,False,False,False,False,True,False,False
True,1,208051,False,True,False,False,False,False,False,False
False,1,221065,True,False,False,False,False,False,False,False
False,1,274110,False,False,False,False,False,False,False,False
True,1,228404,False,True,True,False,False,False,False,False
False,1,210198,True,False,False,True,False,False,False,False
False,1,200456,False,True,False,False,False,False,False,False
True,1,226292,False,False,False,False,False,False,False,False
True,1,272812,True,False,False,False,True,False,False,False
True,1,277809,False,False,False,False,False,False,False,False
True,1,312740,False,False,False,False,False,False,False,False
False,1,305920,False,False,False,False,False,False,False,False
False,1,298649,False,False,False,False,False,True,False,False
False,1,290631,False,True,False,False,False,False,False,False
True,1,261610,False,False,False,False,False,False,False,False
True,1,304889,False,False,False,False,False,True,False,False
True,1,243185,True,True,False,False,True,False,False,False
True,1,226713,False,False,False,False,False,False,False,False
True,1,234527,False,False,False,False,False,False,False,False
False,1,210976,False,False,False,False,False,False,False,False
True,1,210860,False,True,True,False,False,False,False,False
False,1,224721,True,False,False,False,False,False,False,False
False,1,200056,False,True,False,False,False,False,False,False
True,1,172401,False,False,True,False,False,False,False,False
True,1,168688,True,False,False,False,False,False,False,False
False,1,178562,False,False,False,False,False,False,False,False
True,1,159908,False,True,False,False,True,False,False,False
False,1,181131,False,False,False,False,False,False,False,False
True,1,167283,False,True,False,False,True,False,False,False
True,1,175662,False,False,False,False,False,True,False,False
False,1,158117,True,False,False,False,False,False,False,False
False,1,180256,False,True,False,False,False,False,False,False
True,1,175919,False,False,False,False,False,False,False,False
True,1,178305,True,False,False,False,True,False,False,False
True,1,182263,False,False,False,False,False,False,False,False
True,1,159441,False,False,False,False,False,False,False,False
True,1,198467,False,False,False,False,False,False,False,False
False,1,173876,False,False,False,True,False,False,False,False
True,1,197458,False,False,False,False,False,True,False,False
False,1,105245,True,False,False,True,False,False,False,False
True,1,156598,False,True,False,False,False,False,False,False
False,0,200208,False,False,False,False,False,False,False,False
True,0,189193,False,False,False,False,False,True,False,False
False,0,198826,False,False,False,False,False,True,False,False
True,0,222017,False,True,False,False,False,False,False,False
True,0,224074,False,False,False,False,False,False,False,False
True,0,168062,True,False,False,False,False,False,False,False
True,0,148491,False,False,False,False,False,False,False,False
True,0,170799,False,False,False,False,False,True,False,False
True,0,183866,True,False,False,False,False,False,False,False
False,0,325073,False,False,False,False,False,False,False,False
False,0,317053,False,True,False,False,False,False,False,False
False,0,342361,False,False,False,False,False,False,False,False
True,0,327388,False,False,False,False,False,False,False,False
False,0,263116,True,False,False,False,False,False,False,False
True,1,163032,False,True,False,False,True,False,False,False
True,0,148035,False,False,False,False,False,False,False,False
False,0,180202,False,False,True,False,False,True,False,False
False,0,232961,False,False,False,False,False,True,False,False
False,1,206253,False,True,False,False,False,False,False,False
True,0,154702,False,False,False,False,False,False,False,False
True,0,135950,False,False,False,False,False,False,False,False
False,0,212522,False,False,True,False,False,True,False,False
True,0,197118,True,True,False,False,True,False,False,False
True,0,183483,False,False,False,False,True,False,False,False
False,0,166306,False,False,False,False,False,False,False,False
True,1,110855,False,False,False,False,False,False,False,False
False,1,151484,False,True,False,False,False,False,False,False
False,1,214577,False,False,False,False,False,False,False,False
False,1,221099,False,False,False,False,False,False,False,False
False,1,215617,False,False,True,False,False,False,False,False
False,6,228913,False,False,True,False,False,False,False,False
False,6,200862,True,False,False,False,True,False,False,False
False,2,198054,False,False,False,False,False,False,False,False
False,1,181357,False,False,False,False,False,False,False,False
True,1,210091,False,False,False,False,False,False,False,False
False,1,295977,False,False,True,False,False,False,False,False
False,1,260293,False,False,False,False,False,True,False,True
False,1,287020,False,True,False,False,False,False,False,False
True,1,285632,False,False,False,False,False,False,False,False
True,1,348625,True,False,False,False,False,False,False,False
False,1,453256,False,False,False,False,False,False,False,False
False,3,363842,False,True,False,False,False,False,False,False
False,1,399235,False,False,False,False,False,False,False,False
True,1,494358,False,False,False,False,False,False,False,False
False,1,463927,True,False,False,False,True,False,False,False
True,1,392866,False,False,False,False,False,True,False,False
False,1,278942,False,True,False,False,False,False,False,False
True,1,287048,False,False,False,False,False,False,False,False
False,1,335435,False,False,False,False,False,False,False,False
False,0,351726,False,False,False,False,False,True,False,False
False,0,522167,False,True,False,False,False,False,False,False
False,0,199101,False,False,False,False,False,False,False,False
False,9,458565,False,False,False,False,False,False,False,False
False,9,520065,False,False,False,False,False,False,False,False
True,6,251059,False,False,False,False,False,False,False,False
True,1,278771,False,False,False,False,False,False,False,False
True,1,349852,True,False,False,True,False,False,False,False
False,5,330358,False,True,False,False,False,False,False,False
False,1,314887,True,False,False,False,False,False,False,False
False,5,296476,False,True,False,False,False,False,False,False
False,5,300856,False,False,False,False,False,False,False,False
True,2,401922,False,False,False,False,False,False,False,False
True,1,435126,True,False,False,False,False,False,False,False
True,5,414507,False,False,False,True,False,False,False,False
False,1,327491,False,True,True,False,False,False,False,False
True,1,329302,False,False,False,False,False,True,False,True
True,2,431252,False,True,False,False,False,False,False,False
True,4,452832,True,False,False,False,False,False,False,False
True,4,549654,False,False,False,False,False,False,False,False
True,1,190619,False,False,False,True,False,False,False,False
False,1,422918,False,False,False,False,False,False,False,False
False,4,500607,False,True,False,False,False,False,False,False
True,5,504263,False,False,True,False,False,False,False,False
True,1,662111,True,False,False,True,False,False,False,False
True,5,808892,False,False,False,False,False,False,False,False
False,4,683352,False,False,False,False,False,False,False,False
False,5,671863,False,True,False,False,False,False,False,False
True,4,714227,False,False,False,False,False,False,False,False
False,4,787387,False,False,False,False,False,False,False,False
True,5,695744,False,False,False,False,False,False,False,False
